Date,Open,High,Low,Close,Volume
2024/1/30,34.4,34.7,33.9,34.4,9.03M
2024/1/31,33.65,33.7,32,32.35,11.13M
2024/2/1,33,33.85,32.6,32.8,10.27M
2024/2/2,33.6,34.25,31.4,32.2,16.13M
2024/2/5,31.3,32.1,30.8,31.4,14.91M
2024/2/6,30.8,33.6,30.5,33.45,14.80M
2024/2/7,34.3,35.25,32.6,33.1,12.32M
2024/2/8,33.1,33.9,32.75,33.2,5.92M
2024/2/9,33.05,33.05,31.25,32.25,3.69M
2024/2/14,32.8,35.2,31.8,34.8,7.78M
2024/2/15,34.2,35.75,33.85,35.4,4.27M
2024/2/16,35.4,38.25,35.15,37.5,6.25M
2024/2/19,37.4,37.4,35.8,36.9,10.98M
2024/2/20,37.2,37.5,34.1,35.55,19.40M
